"movieNm","salesAcc","movieCd","salesAmt","salesShare","salesInten","salesChange","audiCnt","audiInten","audiChange","audiAcc","scrnCnt","showCnt","genreNm","dir_peopleNm","act_peopleNm1","act_peopleNm2","watchGradeNm"
잭 리처,5690426000,20123333,21208000,0.4,3040500,16.7,2863,253,9.7,774722,118,229,액션,크리스토퍼 맥쿼리,톰 크루즈,로자먼드 파이크,"15세이상관람가"
잭 리처: 네버 고 백,4497158958,20166363,106054000,1.3,-25998400,-19.7,12744,-3095,-19.5,591883,321,557,액션,에드워드 즈윅,톰 크루즈,코비 스멀더스,"15세이상관람가"
저 산 너머,677171420,20207722,18733100,3,1494640,8.7,2351,-126,-5.1,91085,274,431,드라마,최종태,이항나,이경훈,"12세이상관람가"
저수지 게임,678591500,20171923,69004200,1.3,28447100,70.1,8071,3252,67.5,85811,190,290,다큐멘터리,최진성,주진우,주진우,"15세이상관람가"
저스티스,299666000,20124932,26636000,2.4,1013500,4,3791,189,5.2,40433,136,515,액션,로저 도널드슨,니콜라스 케이지,가이 피어스,청소년관람불가
저스티스 리그,14499356395,20168221,33824000,2,-3385000,-9.1,4707,-591,-11.2,1769615,361,709,액션,잭 스나이더,벤 애플렉,갤 가돗,"12세이상관람가"
저스틴,1440845500,20135369,62530000,2.3,-172765000,-73.4,9859,-24486,-71.3,214638,296,563,애니메이션,마누엘 시실라,박형식,이순재,전체관람가
저지드레드 3D,60534000,20120661,43925000,2.2,39361000,862.4,6063,5411,829.9,8329,183,662,SF,피트 트래비스,칼 어번,제이슨 코프,청소년관람불가
전국노래자랑,6571042500,20121549,25584500,0.5,-2710000,-9.6,3728,-397,-9.6,957494,87,165,코미디,이종필,김인권,류현경,"12세이상관람가"
전설의 주먹,12654879500,20125333,41165000,0.7,-7507500,-15.4,5346,-1246,-18.9,1727351,112,267,드라마,강우석,황정민,유준상,청소년관람불가
젊은이의 양지,11628000,20196675,4272000,0.7,4272000,100,513,513,100,1353,5,5,드라마,신수원,김호정,김현태,"15세이상관람가"
점박이 한반도의 공룡2 : 새로운 낙원,4082991550,20183785,156078050,2.5,-2603800,-1.6,19350,-448,-2.3,521053,409,564,애니메이션,한상호,박희순,라미란,전체관람가
점박이:한반도의 공룡3D,9091233000,20100215,59215000,3.2,5397000,10,6749,700,11.6,979966,110,193,애니메이션,한상호,이형석,신용우,전체관람가
점쟁이들,6702969500,20113887,30117500,2,3065500,11.3,4521,447,11,949263,203,556,코미디,신정원,김수로,오상철,"15세이상관람가"
정글 크루즈,2284427280,20218349,5791600,0.1,-197200,-3.3,558,-20,-3.5,247005,40,44,액션,자움 콜렛 세라,드웨인 존슨,에밀리 블런트,"12세이상관람가"
정글북,19691073822,20162967,135212256,3.7,30751656,29.4,16121,2091,14.9,2314418,386,824,어드벤처,존 파브로,닐 세티,빌 머레이,"12세이상관람가"
정직한 후보,12716120890,20193321,26534800,4.4,11535360,76.9,4299,1805,72.4,1516774,312,573,코미디,장유정,라미란,김무열,"12세이상관람가"
정직한 후보2,8353380368,20219628,13941200,1,-12937894,-48.1,1931,-1290,-40,886964,89,102,코미디,장유정,라미란,김무열,"12세이상관람가"
제 5침공,961386500,20161745,179657500,1.9,68013900,60.9,23032,7701,50.2,125485,303,593,액션,J 블레이크슨,클로이 모레츠,닉 로빈슨,"12세이상관람가"
제로 다크 서티,573154000,20129262,47390500,3.6,-124625500,-72.4,7208,-16188,-69.2,79430,249,783,전쟁,캐서린 비글로우,제시카 차스테인,제이슨 클락,"15세이상관람가"
제미니 맨,3227563970,20191183,18665140,1.3,-32773760,-63.7,2474,-3447,-58.2,378094,291,481,액션,이안,윌 스미스,메리 엘리자베스 윈스티드,"12세이상관람가"
제보자,13396775502,20134589,68348600,1.5,25685900,60.2,8792,2665,43.5,1738519,187,408,드라마,임순례,박해일,유연석,"12세이상관람가"
제이슨 본,20900326263,20161907,74189200,1.5,-94123300,-55.9,9650,-9924,-50.7,2568494,165,341,액션,폴 그린그래스,맷 데이먼,줄리아 스타일즈,"15세이상관람가"
"제자, 옥한흠",171140000,20142798,9019000,0.4,-1116500,-11,1291,-164,-11.3,23080,34,71,다큐멘터리,김상철,권오중,성유리,전체관람가
조선마술사,4209558627,20144442,115650900,4.7,-34410600,-22.9,16277,-4385,-21.2,571279,461,1333,드라마,김대승,유승호,고아라,"12세이상관람가"
조선명탐정 : 사라진 놉의 딸,30335391328,20149570,56813100,4.1,4373600,8.3,8062,891,12.4,3855420,339,973,사극,김석윤,김명민,오달수,"12세이상관람가"
조선명탐정: 흡혈괴마의 비밀,19554410864,20179205,147018300,6.9,-291170600,-66.4,20042,-32874,-62.1,2406758,559,2031,사극,김석윤,김명민,오달수,"12세이상관람가"
조선미녀삼총사,3294840821,20126090,24955000,0.7,-53340000,-68.1,3594,-7965,-68.9,455967,203,373,코미디,박제현,하지원,강예원,"12세이상관람가"
조이,1090170700,20158529,74242500,6,-2113000,-2.8,9997,-226,-2.2,136090,371,1252,코미디,데이빗 O. 러셀,제니퍼 로렌스,브래들리 쿠퍼,"12세이상관람가"
